TransactionID,Items
1,"Tea,Jam,Eggs,Biscuits"
2,"Butter,Rice,Bread,Oil,Biscuits"
3,"Butter,Rice,Bread,Sugar,Coffee,Jam"
4,"Rice,Pulses,Tea,Oil,Biscuits,Milk"
5,"Butter,Bread,Tea,Eggs,Sugar,Coffee,Oil,Biscuits"
6,"Tea,Sugar,Coffee,Oil,Biscuits"
7,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
8,"Butter,Rice,Bread,Pulses,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
9,"Butter,Tea,Bread,Biscuits"
10,"Butter,Bread,Sugar,Coffee,Jam"
11,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
12,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
13,"Rice,Tea,Eggs,Sugar,Coffee,Biscuits"
14,"Butter,Rice,Bread,Tea,Eggs,Oil,Biscuits"
15,"Butter,Rice,Bread,Eggs,Biscuits"
16,"Rice,Pulses,Tea,Oil,Jam,Biscuits"
17,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
18,"Butter,Rice,Bread,Tea,Eggs,Sugar,Coffee,Oil,Jam,Biscuits"
19,"Butter,Rice,Bread,Tea,Sugar,Oil,Biscuits"
20,"Butter,Rice,Bread,Tea,Oil,Biscuits,Milk"
21,"Butter,Eggs,Bread"
22,"Butter,Rice,Bread,Tea,Eggs,Sugar,Oil,Biscuits"
23,"Butter,Rice,Bread,Sugar,Coffee,Oil,Jam,Biscuits"
24,"Rice,Sugar,Coffee,Oil,Jam,Milk"
25,"Butter,Bread,Sugar,Coffee,Biscuits"
26,"Butter,Tea,Bread,Pulses"
27,"Coffee,Bread,Sugar"
28,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
29,"Butter,Rice,Bread,Coffee,Oil"
30,"Butter,Bread,Tea,Eggs,Biscuits"
31,"Rice,Coffee,Oil,Sugar"
32,"Butter,Tea,Bread,Biscuits"
33,"Butter,Rice,Bread,Tea,Eggs,Coffee,Oil,Biscuits"
34,"Rice,Tea,Oil,Jam,Biscuits"
35,"Butter,Bread,Tea,Jam,Biscuits"
36,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
37,"Rice,Tea,Sugar,Coffee,Oil,Biscuits"
38,"Tea,Eggs,Sugar,Coffee,Biscuits"
39,"Butter,Rice,Bread,Tea,Sugar,Coffee,Biscuits"
40,"Butter,Bread,Sugar,Pulses"
41,"Butter,Rice,Bread,Tea,Oil,Milk"
42,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
43,"Butter,Rice,Bread,Pulses,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
44,"Tea,Jam,Biscuits,Oil"
45,"Butter,Rice,Bread"
46,"Rice,Bread,Tea,Eggs,Oil,Biscuits"
47,"Butter,Bread,Tea,Eggs,Oil,Biscuits"
48,"Butter,Jam,Bread,Oil"
49,"Butter,Rice,Bread,Tea,Sugar,Oil"
50,"Butter,Rice,Bread,Sugar,Coffee,Oil,Jam"
51,"Butter,Rice,Bread,Pulses,Tea,Oil"
52,"Rice,Tea,Oil,Jam,Biscuits"
53,"Butter,Rice,Bread,Tea,Eggs,Sugar,Coffee,Oil,Biscuits"
54,Biscuits
55,"Butter,Bread,Tea,Oil,Biscuits"
56,"Butter,Rice,Bread,Pulses,Tea,Sugar,Coffee,Oil,Biscuits"
57,"Butter,Rice,Bread,Eggs,Tea,Oil,Milk"
58,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
59,"Butter,Rice,Bread,Sugar,Coffee,Oil,Jam"
60,"Butter,Rice,Tea,Coffee,Oil,Biscuits"
61,"Butter,Rice,Bread,Eggs,Sugar,Coffee,Oil"
62,"Butter,Bread,Pulses,Tea,Sugar,Biscuits,Milk"
63,"Butter,Rice,Bread,Tea,Oil,Biscuits"
64,"Butter,Bread,Pulses,Tea,Sugar,Coffee,Biscuits"
65,"Butter,Rice,Bread,Tea,Coffee,Oil,Biscuits"
66,"Butter,Rice,Bread,Pulses,Tea,Sugar,Coffee,Oil,Biscuits"
67,"Butter,Rice,Bread"
68,"Butter,Rice,Bread,Sugar,Coffee,Oil"
69,"Tea,Eggs,Sugar,Coffee,Biscuits,Milk"
70,"Butter,Bread,Tea,Eggs,Sugar,Coffee,Jam,Biscuits"
71,"Butter,Rice,Bread,Tea,Biscuits"
72,"Butter,Rice,Bread,Tea,Oil,Biscuits,Milk"
73,"Rice,Sugar,Coffee,Oil,Jam"
74,"Butter,Rice,Bread,Pulses,Tea,Eggs,Oil,Biscuits"
75,"Butter,Bread,Pulses,Tea,Eggs,Biscuits"
76,"Butter,Bread,Tea,Eggs,Sugar,Biscuits"
77,"Rice,Bread,Tea,Oil,Jam"
78,"Rice,Tea,Coffee,Oil,Biscuits"
79,"Butter,Tea,Bread,Biscuits"
80,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
81,"Butter,Rice,Bread,Tea,Sugar,Coffee,Biscuits"
82,"Butter,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
83,"Tea,Rice,Biscuits,Oil"
84,"Tea,Biscuits,Oil"
85,"Butter,Rice,Bread,Tea,Oil,Biscuits"
86,"Butter,Rice,Bread,Tea,Sugar,Coffee,Jam,Biscuits"
87,"Butter,Rice,Bread,Tea,Oil,Biscuits"
88,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
89,"Rice,Tea,Sugar,Coffee,Oil,Biscuits,Milk"
90,"Butter,Rice,Bread,Tea,Oil,Biscuits,Milk"
91,"Butter,Bread"
92,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
93,"Rice,Bread,Oil"
94,"Butter,Rice,Bread,Tea,Oil,Biscuits"
95,"Rice,Bread,Tea,Biscuits,Milk"
96,"Rice,Bread,Tea,Oil,Biscuits"
97,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
98,"Butter,Rice,Bread,Sugar,Coffee,Oil,Milk"
99,"Butter,Rice,Sugar,Coffee,Oil,Biscuits"
100,"Butter,Rice,Bread,Tea,Coffee,Oil,Biscuits,Milk"
101,"Butter,Rice,Bread,Oil,Milk"
102,"Rice,Pulses,Tea,Oil,Biscuits"
103,"Butter,Rice,Bread,Pulses,Oil,Jam"
104,"Rice,Tea,Oil,Jam,Biscuits"
105,"Butter,Tea,Sugar,Coffee,Biscuits"
106,"Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
107,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
108,"Rice,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
109,"Butter,Rice,Bread,Tea,Oil,Biscuits"
110,"Butter,Bread,Pulses"
111,"Butter,Rice,Bread,Tea,Eggs,Sugar,Coffee,Oil,Biscuits"
112,"Rice,Pulses,Tea,Coffee,Oil,Biscuits"
113,"Tea,Biscuits"
114,"Butter,Rice,Bread,Tea,Eggs,Sugar,Coffee,Oil,Biscuits"
115,"Butter,Rice,Bread,Tea,Eggs,Sugar,Coffee,Oil,Biscuits,Milk"
116,"Rice,Tea,Sugar,Oil,Biscuits"
117,"Butter,Rice,Bread,Sugar,Coffee,Oil,Jam"
118,"Butter,Rice,Bread,Eggs,Sugar,Oil,Milk"
119,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
120,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
121,"Butter,Bread,Sugar,Coffee,Biscuits"
122,"Butter,Rice,Bread,Tea,Oil,Biscuits,Milk"
123,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
124,"Butter,Rice,Bread,Eggs,Sugar,Coffee,Oil"
125,"Butter,Tea,Biscuits,Sugar"
126,"Butter,Bread,Tea,Sugar,Coffee,Jam,Biscuits,Milk"
127,"Butter,Rice,Bread,Eggs,Sugar,Coffee,Oil,Milk"
128,"Butter,Tea,Bread,Biscuits"
129,"Butter,Bread,Tea,Oil,Biscuits,Milk"
130,"Butter,Bread,Tea,Coffee,Biscuits"
131,"Rice,Bread,Tea,Oil,Biscuits"
132,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
133,"Butter,Rice,Bread,Tea,Eggs,Oil"
134,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
135,"Butter,Bread,Eggs,Sugar,Coffee,Oil"
136,"Butter,Rice,Tea,Oil,Biscuits,Milk"
137,"Butter,Rice,Bread,Sugar,Oil,Biscuits"
138,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
139,"Butter,Rice,Bread,Oil"
140,"Biscuits,Rice,Oil"
141,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
142,"Butter,Rice,Eggs,Oil,Milk"
143,"Butter,Rice,Bread,Tea,Sugar,Coffee,Biscuits"
144,"Butter,Rice,Bread,Tea,Sugar,Oil,Jam,Biscuits"
145,"Butter,Bread,Tea,Eggs,Sugar,Coffee,Biscuits"
146,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
147,"Rice,Sugar,Coffee,Oil,Biscuits"
148,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil"
149,"Butter,Rice,Bread,Tea,Coffee,Oil,Biscuits"
150,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits,Milk"
151,"Tea,Biscuits"
152,"Butter,Bread,Pulses,Sugar,Coffee"
153,"Butter,Bread,Tea,Sugar,Coffee,Biscuits,Milk"
154,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
155,"Rice,Sugar,Coffee,Oil,Biscuits"
156,"Butter,Bread,Tea,Sugar,Coffee,Biscuits,Milk"
157,"Butter,Rice,Bread,Sugar,Coffee,Oil,Jam"
158,"Butter,Rice,Bread,Pulses,Eggs,Oil"
159,"Rice,Tea,Sugar,Oil,Biscuits"
160,"Butter,Rice,Bread,Tea,Oil,Biscuits,Milk"
161,"Butter,Rice,Bread,Eggs,Sugar,Oil"
162,"Rice,Sugar,Coffee,Oil,Biscuits"
163,"Butter,Coffee,Bread,Sugar"
164,"Butter,Rice,Bread,Sugar,Coffee,Oil,Milk"
165,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil"
166,"Butter,Coffee,Bread,Sugar"
167,"Butter,Eggs,Coffee,Bread"
168,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
169,"Butter,Rice,Tea,Sugar,Coffee,Oil,Biscuits"
170,Biscuits
171,"Rice,Sugar,Coffee,Oil,Biscuits"
172,"Butter,Rice,Bread,Tea,Eggs,Oil,Biscuits"
173,"Butter,Rice,Bread,Tea,Oil,Biscuits,Milk"
174,"Butter,Bread,Tea,Sugar,Coffee,Milk"
175,"Butter,Rice,Bread,Tea,Oil,Biscuits"
176,"Butter,Rice,Bread,Oil"
177,"Rice,Pulses,Tea,Eggs,Biscuits"
178,"Butter,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
179,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
180,"Butter,Rice,Bread,Tea,Sugar,Coffee,Biscuits"
181,"Tea,Coffee,Biscuits,Sugar"
182,"Pulses,Tea,Eggs,Biscuits"
183,"Butter,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
184,"Rice,Sugar,Coffee,Oil,Milk"
185,"Butter,Rice,Bread,Oil,Biscuits,Milk"
186,"Oil,Coffee,Sugar,Milk"
187,"Butter,Bread,Biscuits,Pulses"
188,"Butter,Rice,Bread,Sugar,Oil,Milk"
189,"Jam,Bread,Oil"
190,"Butter,Rice,Bread,Oil,Jam"
191,"Butter,Rice,Bread,Tea,Biscuits"
192,"Butter,Rice,Bread,Tea,Eggs,Oil,Biscuits"
193,"Butter,Rice,Tea,Oil,Biscuits"
194,"Butter,Rice,Bread,Sugar,Coffee,Oil,Milk"
195,"Butter,Rice,Bread,Pulses,Tea,Oil,Biscuits"
196,"Butter,Rice,Bread,Sugar,Coffee,Oil"
197,"Rice,Bread,Oil"
198,"Tea,Coffee,Biscuits,Sugar"
199,"Butter,Rice,Bread,Tea,Coffee,Oil,Biscuits"
200,"Tea,Biscuits,Oil"
201,"Rice,Tea,Sugar,Coffee,Biscuits"
202,"Coffee,Sugar"
203,"Rice,Coffee,Oil,Milk"
204,Milk
205,"Butter,Rice,Bread,Tea,Oil,Biscuits"
206,"Tea,Biscuits,Milk"
207,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
208,"Butter,Bread,Tea,Eggs,Sugar,Coffee,Biscuits"
209,"Butter,Rice,Bread,Tea,Coffee,Biscuits"
210,"Butter,Rice,Bread,Tea,Eggs,Oil"
211,"Butter,Bread,Tea,Eggs,Sugar,Coffee,Jam,Biscuits,Milk"
212,"Butter,Rice,Bread,Oil,Jam"
213,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
214,"Pulses,Rice,Eggs,Oil"
215,"Butter,Bread,Oil"
216,"Pulses,Eggs,Coffee,Sugar"
217,"Rice,Pulses,Sugar,Coffee,Oil"
218,"Rice,Pulses,Tea,Sugar,Coffee,Oil,Biscuits"
219,"Rice,Bread,Tea,Oil,Biscuits"
220,"Biscuits,Rice,Oil"
221,"Butter,Rice,Bread,Tea,Oil,Biscuits"
222,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
223,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
224,"Rice,Tea,Eggs,Sugar,Coffee,Oil,Biscuits"
225,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
226,"Butter,Rice,Bread,Pulses,Sugar,Coffee,Oil"
227,"Butter,Bread,Tea,Sugar,Coffee,Biscuits"
228,"Butter,Rice,Bread,Coffee,Oil"
229,"Butter,Rice,Bread,Tea,Oil"
230,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
231,"Butter,Rice,Oil,Jam,Biscuits"
232,"Butter,Rice,Bread,Tea,Sugar,Oil,Milk"
233,"Butter,Rice,Bread,Pulses,Tea,Oil,Biscuits"
234,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
235,"Butter,Bread,Tea,Sugar,Coffee,Jam,Biscuits"
236,"Pulses,Jam,Biscuits"
237,"Rice,Tea,Sugar,Coffee,Oil,Biscuits"
238,"Tea,Eggs,Biscuits"
239,"Butter,Rice,Bread,Eggs,Oil"
240,"Butter,Rice,Tea,Sugar,Coffee,Oil,Jam,Biscuits"
241,"Butter,Coffee,Bread,Sugar"
242,"Butter,Rice,Bread,Pulses,Tea,Sugar,Oil,Biscuits"
243,"Butter,Bread,Pulses"
244,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits,Milk"
245,"Butter,Rice,Bread,Eggs,Oil"
246,"Butter,Rice,Bread,Tea,Sugar,Coffee,Oil,Biscuits"
247,"Butter,Bread,Tea,Oil,Biscuits"
248,"Tea,Bread,Biscuits,Sugar"
249,"Butter,Bread,Pulses,Sugar,Coffee,Milk"
250,"Butter,Rice,Bread,Tea,Oil,Biscuits"
251,"Rice,Sugar,Coffee,Oil,Milk"
